iter	Passed	Remaining
143	953	5670
144	957	5647
145	978	5721
146	982	5700
147	986	5676
148	990	5654
149	994	5635
150	998	5613
151	1002	5591
152	1006	5569
153	1010	5552
154	1015	5535
155	1020	5520
156	1024	5498
157	1029	5486
158	1035	5475
159	1039	5458
160	1047	5456
161	1051	5439
162	1055	5419
163	1060	5406
164	1065	5390
165	1069	5374
166	1075	5363
167	1080	5349
168	1084	5332
169	1089	5320
170	1094	5307
171	1099	5292
172	1104	5279
173	1111	5275
174	1117	5267
175	1122	5256
176	1128	5249
177	1134	5238
178	1139	5226
179	1144	5215
180	1149	5200
181	1154	5187
182	1159	5175
183	1164	5163
184	1169	5151
185	1175	5144
186	1180	5131
187	1185	5118
188	1191	5110
189	1197	5103
190	1203	5097
191	1209	5090
192	1214	5078
193	1222	5079
194	1228	5072
195	1234	5063
196	1239	5053
197	1244	5040
198	1249	5028
199	1254	5019
200	1259	5008
201	1265	4997
202	1271	4990
203	1276	4981
204	1283	4976
205	1288	4967
206	1293	4955
207	1298	4943
208	1303	4931
209	1307	4918
210	1311	4903
211	1316	4893
212	1321	4881
213	1325	4869
214	1330	4856
215	1334	4845
216	1339	4832
217	1343	4818
218	1347	4806
219	1352	4794
220	1355	4779
221	1359	4765
222	1364	4754
223	1369	4745
224	1373	4732
225	1378	4720
226	1382	4709
227	1386	4695
228	1390	4681
229	1395	4670
230	1399	4659
231	1403	4646
232	1407	4632
233	1413	4625
234	1418	4616
235	1423	4608
236	1429	4602
237	1434	4592
238	1438	4581
239	1443	4571
240	1448	4561
241	1452	4549
242	1456	4538
243	1462	4529
244	1466	4518
245	1470	4508
246	1476	4501
247	1481	4492
248	1486	4483
249	1491	4475
250	1496	4465
251	1500	4452
252	1503	4440
253	1508	4431
254	1512	4419
255	1516	4407
256	1521	4397
257	1525	4388
258	1530	4379
259	1534	4366
260	1538	4357
261	1543	4348
262	1548	4338
263	1552	4328
264	1556	4318
265	1561	4309
266	1566	4301
267	1572	4294
268	1578	4288
269	1582	4279
270	1589	4274
271	1593	4265
272	1598	4256
273	1604	4250
274	1609	4243
275	1614	4234
276	1619	4228
277	1625	4221
278	1630	4214
279	1636	4208
280	1641	4200
281	1646	4192
282	1651	4185
283	1657	4178
284	1661	4168
285	1665	4159
286	1671	4151
287	1675	4143
288	1680	4134
289	1685	4127
290	1689	4117
291	1693	4106
292	1698	4097
293	1702	4089
294	1706	4079
295	1711	4069
296	1716	4062
297	1720	4053
298	1725	4044
299	1729	4034
300	1733	4025
301	1738	4017
302	1742	4007
303	1746	3998
304	1750	3989
305	1754	3979
306	1758	3969
307	1763	3961
308	1767	3952
309	1771	3943
310	1775	3933
311	1779	3924
312	1784	3915
313	1787	3905
314	1791	3896
315	1796	3888
316	1800	3879
317	1804	3869
318	1808	3861
319	1814	3856
320	1819	3849
321	1823	3840
322	1828	3831
323	1832	3823
324	1836	3813
325	1840	3805
326	1844	3797
327	1849	3788
328	1851	3776
329	1855	3767
330	1860	3760
331	1864	3751
332	1868	3742
333	1872	3733
334	1877	3726
335	1881	3717
336	1885	3708
337	1889	3701
338	1894	3694
339	1898	3685
340	1902	3676
341	1907	3669
342	1911	3660
343	1914	3651
344	1917	3639
345	1921	3632
346	1926	3625
347	1930	3617
348	1934	3608
349	1939	3601
350	1943	3593
351	1947	3585
352	1951	3576
353	1955	3569
354	1960	3561
355	1964	3553
356	1968	3545
357	1973	3538
358	1977	3530
359	1981	3521
360	1985	3514
361	1989	3506
362	1993	3498
363	1997	3490
364	2002	3483
365	2008	3478
366	2012	3470
367	2016	3463
368	2021	3456
369	2025	3449
370	2029	3440
371	2034	3434
372	2038	3426
373	2042	3418
374	2046	3410
375	2050	3403
376	2055	3396
377	2059	3388
378	2063	3380
379	2068	3374
380	2072	3366
381	2076	3358
382	2080	3351
383	2084	3344
384	2089	3337
385	2093	3329
386	2097	3322
387	2102	3315
388	2106	3308
389	2109	3300
390	2115	3294
391	2119	3287
392	2123	3279
393	2127	3272
394	2132	3266
395	2136	3258
396	2140	3251
397	2145	3244
398	2149	3237
399	2153	3230
400	2157	3223
401	2162	3216
402	2166	3209
403	2170	3202
404	2174	3195
405	2179	3188
406	2183	3181
407	2187	3174
408	2191	3167
409	2196	3160
410	2200	3153
411	2204	3146
412	2209	3139
413	2214	3134
414	2218	3127
415	2223	3120
416	2228	3115
417	2232	3108
418	2236	3101
419	2241	3094
420	2245	3087
421	2249	3081
422	2253	3074
423	2258	3067
424	2262	3061
425	2266	3053
426	2270	3046
427	2274	3040
428	2278	3033
429	2282	3025
430	2286	3018
431	2290	3011
432	2294	3005
433	2298	2997
434	2302	2990
435	2307	2984
436	2311	2977
437	2315	2970
438	2319	2964
439	2325	2959
440	2329	2952
441	2333	2945
442	2337	2939
443	2342	2933
444	2346	2926
445	2350	2919
446	2354	2913
447	2358	2906
448	2362	2899
449	2366	2892
450	2370	2885
451	2374	2879
452	2378	2871
453	2382	2865
454	2386	2858
455	2390	2852
456	2394	2845
457	2399	2839
458	2403	2833
459	2408	2826
460	2411	2819
461	2416	2814
462	2421	2808
463	2425	2801
464	2429	2794
465	2434	2789
466	2438	2782
467	2442	2776
468	2446	2769
469	2450	2763
470	2454	2757
471	2458	2750
472	2462	2743
473	2466	2737
474	2471	2731
475	2474	2724
476	2479	2718
477	2483	2712
478	2487	2705
479	2491	2698
480	2495	2692
481	2500	2686
482	2503	2679
483	2507	2673
484	2512	2667
485	2516	2661
486	2520	2655
487	2524	2648
488	2529	2642
489	2533	2637
490	2537	2630
491	2541	2624
492	2546	2618
493	2550	2612
494	2554	2605
495	2558	2599
496	2563	2594
497	2567	2587
498	2570	2581
499	2575	2575
500	2579	2569
501	2583	2563
502	2587	2556
503	2592	2550
504	2596	2544
505	2600	2538
506	2603	2531
507	2608	2526
508	2612	2520
509	2616	2513
510	2620	2507
511	2625	2502
512	2630	2496
513	2633	2490
514	2638	2484
515	2642	2478
516	2646	2472
517	2651	2467
518	2656	2461
519	2660	2456
520	2664	2449
521	2668	2443
522	2672	2437
523	2677	2432
524	2681	2426
525	2685	2419
526	2689	2414
527	2693	2408
528	2697	2401
529	2701	2395
530	2706	2390
531	2710	2384
532	2714	2377
533	2718	2372
534	2723	2367
535	2728	2362
536	2733	2356
537	2737	2350
538	2741	2344
539	2745	2338
540	2749	2333
541	2754	2327
542	2758	2321
543	2762	2315
544	2766	2309
545	2771	2304
546	2775	2298
547	2778	2291
548	2788	2291
549	2792	2284
550	2796	2279
551	2801	2273
552	2805	2267
553	2808	2261
554	2812	2255
555	2816	2249
556	2820	2243
557	2824	2237
558	2828	2231
559	2833	2226
560	2838	2220
561	2842	2214
562	2846	2209
563	2850	2203
564	2854	2198
565	2858	2191
566	2863	2186
567	2867	2181
568	2871	2175
569	2875	2169
570	2880	2163
571	2884	2158
572	2888	2152
573	2891	2146
574	2895	2140
575	2899	2134
576	2904	2129
577	2908	2123
578	2911	2117
579	2917	2112
580	2921	2106
581	2926	2101
582	2930	2095
583	2934	2090
584	2938	2084
585	2942	2078
586	2947	2073
587	2951	2067
588	2956	2062
589	2959	2056
590	2964	2051
591	2969	2046
592	2972	2040
593	2976	2034
594	2981	2029
595	2986	2024
596	2989	2018
597	2993	2012
598	2998	2007
599	3002	2001
600	3006	1995
601	3011	1990
602	3015	1985
603	3019	1979
604	3023	1973
605	3028	1969
606	3034	1964
607	3038	1959
608	3043	1953
609	3047	1948
610	3051	1942
611	3055	1937
612	3059	1931
613	3064	1926
614	3068	1920
615	3071	1915
616	3076	1909
617	3081	1904
618	3084	1898
619	3088	1893
620	3093	1888
621	3097	1882
622	3101	1876
623	3105	1871
624	3110	1866
625	3114	1860
626	3117	1854
627	3122	1849
628	3127	1844
629	3131	1839
630	3136	1834
631	3141	1828
632	3145	1823
633	3149	1817
634	3153	1812
635	3158	1807
636	3162	1802
637	3166	1796
638	3170	1791
639	3175	1785
640	3179	1780
641	3183	1774
642	3187	1769
643	3192	1764
644	3196	1759
645	3200	1754
646	3205	1748
647	3209	1743
648	3213	1737
649	3217	1732
650	3222	1727
651	3226	1722
652	3230	1716
653	3234	1711
654	3239	1706
655	3243	1700
656	3247	1695
657	3251	1689
658	3255	1684
659	3259	1679
660	3263	1673
661	3268	1668
662	3272	1663
663	3277	1658
664	3283	1654
665	3290	1649
666	3295	1645
667	3301	1641
668	3307	1636
669	3313	1632
670	3319	1627
671	3325	1622
672	3330	1618
673	3334	1612
674	3339	1607
675	3343	1602
676	3348	1597
677	3353	1592
678	3357	1587
679	3362	1582
680	3367	1577
681	3371	1572
682	3376	1567
683	3381	1562
684	3386	1557
685	3391	1552
686	3396	1547
687	3401	1542
688	3405	1537
689	3410	1532
690	3414	1527
691	3418	1521
692	3422	1516
693	3428	1511
694	3433	1506
695	3438	1501
696	3442	1496
697	3447	1491
698	3451	1486
699	3455	1480
700	3459	1475
701	3464	1470
702	3468	1465
703	3472	1460
704	3477	1454
705	3481	1449
706	3484	1444
707	3488	1438
708	3493	1433
709	3497	1428
710	3500	1423
711	3505	1417
712	3509	1412
713	3514	1407
714	3518	1402
715	3523	1397
716	3529	1393
717	3534	1388
718	3540	1383
719	3545	1378
720	3550	1373
721	3555	1369
722	3560	1364
723	3565	1359
724	3570	1354
725	3576	1349
726	3580	1344
727	3586	1339
728	3591	1335
729	3596	1330
730	3601	1325
731	3607	1320
732	3611	1315
733	3615	1310
734	3620	1305
735	3625	1300
736	3629	1295
737	3634	1290
738	3638	1285
739	3643	1280
740	3647	1275
741	3652	1270
742	3656	1264
743	3660	1259
744	3665	1254
745	3669	1249
746	3673	1244
747	3677	1238
748	3682	1234
749	3687	1229
750	3692	1224
751	3696	1219
752	3700	1213
753	3705	1208
754	3708	1203
755	3713	1198
756	3718	1193
757	3722	1188
758	3726	1183
759	3731	1178
760	3736	1173
761	3740	1168
762	3745	1163
763	3749	1158
764	3754	1153
765	3757	1147
766	3762	1142
767	3767	1137
768	3770	1132
769	3775	1127
770	3779	1122
771	3784	1117
772	3788	1112
773	3792	1107
774	3797	1102
775	3801	1097
776	3804	1091
777	3809	1087
778	3814	1082
779	3818	1076
780	3822	1071
781	3827	1067
782	3832	1062
783	3836	1056
784	3840	1051
785	3845	1046
786	3850	1041
787	3854	1037
788	3858	1031
789	3863	1026
790	3867	1021
791	3871	1016
792	3875	1011
793	3879	1006
794	3883	1001
795	3887	996
796	3892	991
797	3896	986
798	3899	981
799	3904	976
800	3909	971
801	3913	966
802	3917	960
803	3923	956
804	3928	951
805	3932	946
806	3937	941
807	3942	936
808	3946	931
809	3950	926
810	3954	921
811	3958	916
812	3962	911
813	3966	906
814	3970	901
815	3975	896
816	3979	891
817	3983	886
818	3988	881
819	3992	876
820	3996	871
821	4001	866
822	4005	861
823	4009	856
824	4013	851
825	4018	846
826	4022	841
827	4026	836
828	4030	831
829	4035	826
830	4040	821
831	4044	816
832	4048	811
833	4053	806
834	4057	801
835	4060	796
836	4065	791
837	4069	786
838	4073	781
839	4077	776
840	4082	771
841	4086	766
842	4090	761
843	4094	756
844	4098	751
845	4103	746
846	4106	741
847	4111	736
848	4116	732
849	4119	727
850	4123	722
851	4128	717
852	4133	712
853	4137	707
854	4141	702
855	4145	697
856	4149	692
857	4154	687
858	4158	682
859	4163	677
860	4167	672
861	4170	667
862	4175	662
863	4179	657
864	4183	652
865	4187	647
866	4190	642
867	4194	637
868	4198	632
869	4202	628
870	4206	622
871	4210	618
872	4214	613
873	4219	608
874	4223	603
875	4228	598
876	4234	593
877	4238	588
878	4242	584
879	4247	579
880	4251	574
881	4255	569
882	4260	564
883	4265	559
884	4269	554
885	4273	549
886	4278	544
887	4282	540
888	4286	535
889	4290	530
890	4295	525
891	4299	520
892	4303	515
893	4307	510
894	4311	505
895	4315	500
896	4319	495
897	4324	491
898	4328	486
899	4333	481
900	4337	476
901	4341	471
902	4346	466
903	4350	461
904	4354	457
905	4358	452
906	4362	447
907	4366	442
908	4370	437
909	4375	432
910	4380	427
911	4384	423
912	4388	418
913	4392	413
914	4396	408
915	4400	403
916	4405	398
917	4409	393
918	4413	388
919	4417	384
920	4422	379
921	4426	374
922	4430	369
923	4434	364
924	4439	359
925	4444	355
926	4448	350
927	4453	345
928	4457	340
929	4461	335
930	4465	330
931	4469	326
932	4474	321
933	4477	316
934	4482	311
935	4486	306
936	4490	301
937	4494	297
938	4499	292
939	4503	287
940	4507	282
941	4511	277
942	4515	272
943	4520	268
944	4524	263
945	4528	258
946	4534	253
947	4538	248
948	4543	244
949	4548	239
950	4553	234
951	4557	229
952	4561	224
953	4566	220
954	4571	215
955	4575	210
956	4580	205
957	4584	201
958	4589	196
959	4592	191
960	4597	186
961	4602	181
962	4606	176
963	4610	172
964	4614	167
965	4618	162
966	4622	157
967	4627	152
968	4632	148
969	4636	143
970	4640	138
971	4646	133
972	4651	129
973	4655	124
974	4660	119
975	4665	114
976	4669	109
977	4673	105
978	4677	100
979	4682	95
980	4686	90
981	4691	85
982	4695	81
983	4699	76
984	4703	71
985	4708	66
986	4712	62
987	4716	57
988	4720	52
989	4725	47
990	4729	42
991	4733	38
992	4737	33
993	4742	28
994	4746	23
995	4750	19
996	4755	14
997	4759	9
998	4764	4
999	4767	0
